O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2[nH]cnc2[N+](=O)[O-])c1[N+](=O)[O-],7.3669114
O=C(CN(C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,7.906855
CCN(CCC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.9604197
CC(CCN(CC(CC(CC(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.741188
NC(=O)C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.423486
O=[N+]([O-])C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.816079
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cc2nnn[nH]2)c([N+](=O)[O-])c1,7.2220836
O=[N+]([O-])NCCc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],6.7119293
O=[N+]([O-])c1ccc(CN(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,7.924312
CCC(CNC(=O)C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.5112824
CC(CNC(CC(C)([N+](=O)[O-])[N+](=O)[O-])C(=O)F)([N+](=O)[O-])[N+](=O)[O-],6.996265
CC(CC(=O)Oc1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.874489
O=[N+]([O-])OCN1Cc2cc([N+](=O)[O-])cc([N+](=O)[O-])c2N=CN2N(C1)CN([N+](=O)[O-])CN2n1cc([N+](=O)[O-])cn1,7.0935893
O=C(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.200853
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1O,8.043472
O=COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.595165
O=[N+]([O-])NN[N+](=O)[O-],9.061548
Nc1[nH]cnc1[N+](=O)[O-],7.124238
O=C(CN(CCN(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.158794
O=C(C(CC[N+](=O)[O-])(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.519202
O=[N+]([O-])c1nonc1O,8.674683
O=[N+]([O-])CCN(CN(CCN[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.7528734
O=C(CO[N+](=O)[O-])OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.541482
CCC(CN(CCN(CCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.545962
Nc1c([N+](=O)[O-])c(-c2cnc([N+](=O)[O-])[nH]2)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.8476377
CCOCCN(c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-])[N+](=O)[O-],6.8818617
O=C1C2=CC([N+](=O)[O-])=CC([N+](=O)[O-])=CC3NC(=O)N([N+](=O)[O-])C3N1CN2[N+](=O)[O-],7.350482
O=[N+]([O-])CCC(CCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(CCN[N+](=O)[O-])CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.6090417
CN(c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-],7.5983043
O=[N+]([O-])c1cc([N+](=O)[O-])nnn1,8.353195
O=[N+]([O-])CCN(C1NCNC(=N[N+](=O)[O-])N1)[N+](=O)[O-],7.666355
Nc1c([N+](=O)[O-])c(-n2cc([N+](=O)[O-])cn2)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],7.888847
O=[N+]([O-])OC(O)(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.715784
NC(=O)CC(=O)Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.8220453
O=[N+]([O-])OCN(CN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.791732
O=[N+]([O-])N(CCC(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.713566
CC(C)(COC(=O)C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.142427
CC(N)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.683494
CCOC(=O)C(=O)CC(C)N,5.86887
